geoid10,year,state_fips,state_usps,state_name,county_fips,county_name,metro_fips,metro_name,metro_type,in100,primary_ruca,c5_COI_nat,c5_COI_stt,c5_COI_met,r_COI_nat,r_COI_stt,r_COI_met,z_COI_nat,z_COI_stt,z_COI_met,c5_ED_nat,c5_ED_stt,c5_ED_met,r_ED_nat,r_ED_stt,r_ED_met,z_ED_nat,z_ED_stt,z_ED_met,c5_HE_nat,c5_HE_stt,c5_HE_met,r_HE_nat,r_HE_stt,r_HE_met,z_HE_nat,z_HE_stt,z_HE_met,c5_SE_nat,c5_SE_stt,c5_SE_met,r_SE_nat,r_SE_stt,r_SE_met,z_SE_nat,z_SE_stt,z_SE_met
25001010100,2012,25,MA,Massachusetts,25001,"Barnstable County, Massachusetts",12700,"Barnstable Town, MA",Metropolitan Statistical Area,0,7,High,Low,,64,35,,0.391563664,-0.097891127,,High,Low,,66,32,,0.30213187,-0.391186137,,Very Low,Very Low,,19,13,,-0.283222023,-0.440531557,,High,Moderate,,70,43,,0.609777684,0.148522752,
25001010206,2012,25,MA,Massachusetts,25001,"Barnstable County, Massachusetts",12700,"Barnstable Town, MA",Metropolitan Statistical Area,0,10,High,Moderate,,80,49,,0.778884485,0.216340073,,Very High,High,,87,67,,0.996128619,0.406360106,,Very Low,Very Low,,8,3,,-0.754903857,-1.293436388,,Very High,High,,85,64,,1.098201608,0.574757801,
25001010208,2012,25,MA,Massachusetts,25001,"Barnstable County, Massachusetts",12700,"Barnstable Town, MA",Metropolitan Statistical Area,0,10,Very High,High,,89,75,,1.112222519,0.669166116,,Very High,Very High,,96,84,,1.600468731,0.871409068,,Very Low,Low,,20,40,,-0.255881103,0.155769105,,Very High,High,,91,75,,1.345977835,0.787723458,
25001010304,2012,25,MA,Massachusetts,25001,"Barnstable County, Massachusetts",12700,"Barnstable Town, MA",Metropolitan Statistical Area,0,1,Very High,Moderate,,83,60,,0.88435337,0.3897781,,Very High,High,,88,70,,1.03924216,0.465984999,,Very Low,Very Low,,11,6,,-0.590588137,-0.862803215,,Very High,High,,88,72,,1.219514272,0.735082028,
25001010306,2012,25,MA,Massachusetts,25001,"Barnstable County, Massachusetts",12700,"Barnstable Town, MA",Metropolitan Statistical Area,0,1,High,Moderate,,79,52,,0.761563578,0.276222304,,Very High,High,,91,76,,1.233688085,0.63765496,,Very Low,Very Low,,14,13,,-0.444982923,-0.433956503,,High,Moderate,,78,51,,0.847572877,0.315419777,
25001010400,2012,25,MA,Massachusetts,25001,"Barnstable County, Massachusetts",12700,"Barnstable Town, MA",Metropolitan Statistical Area,0,1,High,Moderate,,76,42,,0.664683614,0.080370425,,Very High,High,,86,66,,0.972116805,0.397697163,,Low,Very Low,,29,13,,-0.040193069,-0.443245172,,High,Moderate,,73,41,,0.699778467,0.093900618,
25001010500,2012,25,MA,Massachusetts,25001,"Barnstable County, Massachusetts",12700,"Barnstable Town, MA",Metropolitan Statistical Area,0,1,Very High,High,,87,70,,1.016896343,0.585871025,,Very High,Very High,,96,84,,1.557998687,0.876422118,,Very Low,Very Low,,14,15,,-0.445007818,-0.363278246,,Very High,High,,88,73,,1.199821049,0.761849648,
25001010600,2012,25,MA,Massachusetts,25001,"Barnstable County, Massachusetts",12700,"Barnstable Town, MA",Metropolitan Statistical Area,0,1,High,Moderate,,78,47,,0.732884345,0.184469418,,Very High,High,,83,62,,0.827073096,0.290590974,,Very Low,Very Low,,11,5,,-0.56900104,-0.949016876,,Very High,Moderate,,84,60,,1.050068737,0.48398914,
25001010700,2012,25,MA,Massachusetts,25001,"Barnstable County, Massachusetts",12700,"Barnstable Town, MA",Metropolitan Statistical Area,0,1,Very High,High,,88,66,,1.056425097,0.506120978,,Very High,Very High,,96,85,,1.53525863,0.917020856,,Very Low,Very Low,,11,4,,-0.59467277,-0.988319984,,Very High,High,,89,72,,1.260754124,0.734124252,
25001010800,2012,25,MA,Massachusetts,25001,"Barnstable County, Massachusetts",12700,"Barnstable Town, MA",Metropolitan Statistical Area,0,1,Very High,Moderate,,81,51,,0.811759149,0.258508329,,Very High,Moderate,,82,59,,0.800309909,0.224867591,,Very Low,Very Low,,14,7,,-0.45276073,-0.723121402,,Very High,High,,87,65,,1.17698999,0.588069258,
